City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,omboue,-1.5746,9.2618,300.1,84,83,1.73,GA,1682317958
85,saint-philippe,-21.3585,55.7679,301.92,68,34,4.64,RE,1682317958
86,kapaa,22.0752,-159.319,298.14,93,75,2.57,US,1682317959
87,kariba,-16.5167,28.8,299.67,45,10,1.66,ZW,1682317959
88,champerico,14.3,-91.9167,301.17,69,5,3.79,GT,1682317959
89,moose factory,51.2585,-80.6094,272.15,93,100,1.54,CA,1682317959
90,turayf,31.6725,38.6637,294.29,37,75,7.2,SA,1682317960
91,ostrovnoy,68.0531,39.5131,269.33,86,14,6.84,RU,1682317961
92,grindavik,63.8424,-22.4338,276.41,93,100,4.12,IS,1682317961
93,yellowknife,62.456,-114.3525,273.46,86,20,2.06,CA,1682317686
94,kashi,39.4547,75.9797,294.71,21,0,2.0,CN,1682317962
95,nikolskoye,59.7035,30.7861,289.71,47,0,5.41,RU,1682317962
96,husavik,66.0449,-17.3389,272.22,63,24,1.43,IS,1682317963
97,saint george,37.1041,-113.5841,292.01,44,20,9.26,US,1682317963
98,chokurdakh,70.6333,147.9167,267.64,89,16,5.76,RU,1682317963
99,ancud,-41.8697,-73.8203,280.05,87,1,1.18,CL,1682317964
100,upata,8.0086,-62.3989,295.48,89,98,0.29,VE,1682317964
101,mar del plata,-38.0023,-57.5575,287.56,96,100,2.06,AR,1682317964
102,kavieng,-2.5744,150.7967,302.14,73,26,3.28,PG,1682317964
103,severo-kurilsk,50.6789,156.125,273.1,81,100,9.35,RU,1682317964
104,torbay,47.6666,-52.7314,275.59,95,100,9.83,CA,1682317810
105,tuktoyaktuk,69.4541,-133.0374,251.63,100,100,1.38,CA,1682317965
106,osias,7.6,124.8167,304.59,57,98,0.39,PH,1682317966
107,ueda,36.4,138.2667,286.67,28,100,2.56,JP,1682317875
108,tual,-5.6667,132.75,301.65,72,42,1.62,ID,1682317967
109,fortuna,40.5982,-124.1573,281.85,87,46,1.45,US,1682317967
110,longyearbyen,78.2186,15.6401,265.35,82,90,0.78,SJ,1682317967
111,northam,51.0333,-4.2167,282.25,95,87,3.88,GB,1682317967
112,arman,59.7,150.1667,277.05,68,100,3.24,RU,1682317968
113,paraiso,9.8383,-83.8656,291.97,91,27,1.26,CR,1682317968
114,vardo,70.3705,31.1107,270.14,86,0,6.17,NO,1682317968
115,bethel,41.3712,-73.414,281.32,86,40,1.54,US,1682317969
116,jamestown,42.097,-79.2353,277.92,92,100,2.06,US,1682317969
117,gorontalo,0.5412,123.0595,303.33,73,33,1.46,ID,1682317766
118,homer,59.6425,-151.5483,276.08,57,0,1.79,US,1682317969
119,nouadhibou,20.931,-17.0347,292.14,72,97,9.26,MR,1682317969
120,sao gabriel da cachoeira,-0.1303,-67.0892,295.24,99,97,0.48,BR,1682317970
121,iqaluit,63.7506,-68.5145,273.0,100,100,1.54,CA,1682317970
122,betioky,-23.7167,44.3833,295.52,78,94,1.9,MG,1682317970
123,upernavik,72.7868,-56.1549,269.09,99,93,2.01,GL,1682317970
124,harper,4.375,-7.7169,299.95,85,100,2.53,LR,1682317971
125,porto novo,6.4965,2.6036,298.05,86,100,0.52,BJ,1682317971
126,westport,41.1415,-73.3579,283.19,89,20,2.06,US,1682317971
127,yazman,29.1212,71.7446,308.42,10,0,3.56,PK,1682317971
128,namibe,-15.1961,12.1522,297.77,67,18,3.59,AO,1682317972
129,half moon bay,37.4636,-122.4286,285.88,84,100,10.29,US,1682317972
130,teacapan,22.55,-105.75,292.33,77,98,1.82,MX,1682317972
131,luderitz,-26.6481,15.1594,291.25,55,5,2.63,NA,1682317973
132,te anau,-45.4167,167.7167,278.91,83,26,0.79,NZ,1682317973
133,edea,3.8,10.1333,298.72,90,100,0.59,CM,1682317973
134,twin falls,42.3505,-114.6445,281.09,76,20,6.69,US,1682317973
135,arraial do cabo,-22.9661,-42.0278,293.85,77,0,2.38,BR,1682317974
136,kruisfontein,-34.0033,24.7314,291.42,64,100,2.13,ZA,1682317974
137,stavern,59.0,10.0333,281.58,96,100,3.94,NO,1682317974
138,tutoia,-2.7619,-42.2744,296.29,91,13,2.54,BR,1682317974
139,blagoyevo,63.3667,47.9167,274.43,74,100,2.76,RU,1682317975
140,marsh harbour,26.5412,-77.0636,296.59,74,37,3.82,BS,1682317975
141,markova,48.6758,24.4138,285.8,61,94,0.72,UA,1682317975
142,presidencia roque saenz pena,-26.7852,-60.4388,291.45,59,98,1.77,AR,1682317976
143,kaihua,23.3687,104.28,303.49,31,58,7.56,CN,1682317976
144,agadez,19.75,10.25,302.24,9,100,2.17,NE,1682317976
145,sereflikochisar,38.9393,33.5386,284.23,60,9,4.46,TR,1682317977
146,bambous virieux,-20.3428,57.7575,302.29,74,40,5.14,MU,1682317977
147,mount gambier,-37.8333,140.7667,293.68,50,0,0.45,AU,1682317919
148,solnechnyy,50.7214,136.6319,277.46,61,100,5.22,RU,1682317978
149,komatipoort,-25.4332,31.9548,295.4,61,15,1.06,ZA,1682317978
150,ponta do sol,32.6667,-17.1,290.5,77,89,1.7,PT,1682317978
151,pendleton,45.6721,-118.7886,283.49,73,100,4.12,US,1682317978
152,camacha,33.0833,-16.3333,288.83,77,20,1.54,PT,1682317979
153,auki,-8.7676,160.7034,300.02,83,14,0.71,SB,1682317979
154,thompson,55.7435,-97.8558,268.24,74,20,1.03,CA,1682317979
155,shunyi,40.125,116.6453,291.12,34,0,7.0,CN,1682317979
156,kaitangata,-46.2817,169.8464,283.11,76,56,5.35,NZ,1682317980
157,tagusao,9.1924,117.8141,303.51,68,42,3.7,PH,1682317980
158,rudnogorsk,57.2639,103.7519,277.16,51,100,2.81,RU,1682317980
159,kasangulu,-4.5911,15.1708,295.93,91,100,0.66,CD,1682317981
160,pangnirtung,66.1451,-65.7125,272.85,84,100,3.05,CA,1682317981
161,polis,35.0367,32.4264,293.31,72,0,3.24,CY,1682317981
162,yar-sale,66.8333,70.8333,267.87,94,100,12.07,RU,1682317982
163,ulaangom,49.9811,92.0667,282.86,24,62,4.7,MN,1682317982
164,henties bay,-22.116,14.2845,291.27,76,3,4.06,NA,1682317982
165,erzin,36.9559,36.2,290.89,68,4,2.74,TR,1682317982
166,cidreira,-30.1811,-50.2056,293.67,87,93,6.06,BR,1682317983
167,san cristobal,7.7669,-72.225,292.34,97,100,1.51,VE,1682317983
168,jizan,17.3333,42.6667,306.67,34,1,2.22,SA,1682317983
169,mirabad,30.4362,61.8383,305.22,10,100,2.76,AF,1682317983
170,nikki,9.9401,3.2108,297.52,83,100,2.43,BJ,1682317983
171,codrington,-38.2667,141.9667,293.66,54,0,1.56,AU,1682317984
172,khatanga,71.9667,102.5,271.16,82,7,3.9,RU,1682317984
173,narsaq,60.9167,-46.05,272.27,75,79,0.76,GL,1682317984
174,kodiak,57.79,-152.4072,272.88,59,100,9.26,US,1682317984
175,jamame,0.0722,42.7506,305.48,57,63,3.59,SO,1682317985
176,ganganagar,29.9167,73.8833,308.25,11,0,3.82,IN,1682317985
177,atherton,53.5237,-2.4935,280.23,78,100,1.15,GB,1682317986
178,mahebourg,-20.4081,57.7,302.31,74,40,5.14,MU,1682317959
179,singaraja,-8.112,115.0882,302.1,78,40,2.2,ID,1682317925
180,kutum,14.2,24.6667,302.99,29,9,5.88,SD,1682317986
181,geraldton,-28.7667,114.6,293.38,60,100,6.69,AU,1682317768
182,broome,42.2506,-75.833,277.2,96,100,2.06,US,1682317987
183,saint-augustin,51.226,-58.6502,274.06,93,12,1.89,CA,1682317987
184,tamiahua,21.2667,-97.45,297.98,91,100,6.82,MX,1682317987
